Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
JSE:AON,"African and Overseas Enterprises - N Shares (JSE:AON)",https://www.listcorp.com/jse/aon/african-and-overseas-enterprises-n,"	163551000",16,0.00,0,"Consumer Services"
JSE:PPR,"Putprop Limited (JSE:PPR)",https://www.listcorp.com/jse/ppr/putprop-limited,"	150538000",3.55,0.00,0,Financials
JSE:KBO,"Kibo Energy PLC (JSE:KBO)",https://www.listcorp.com/jse/kbo/kibo-energy-plc,"	147152000",0.01,0.00,0,"Basic Materials"
JSE:AYO,"AYO Tech Solutions (JSE:AYO)",https://www.listcorp.com/jse/ayo/ayo-tech-solutions,"	134038000",0.35,-0.06,-14.63,Technology
JSE:CAC,"CAFCA Limited (JSE:CAC)",https://www.listcorp.com/jse/cac/cafca-limited,"	126210000",3.78,0.00,0,Industrials
JSE:RHB,"RH Bophelo Limited (JSE:RHB)",https://www.listcorp.com/jse/rhb/rh-bophelo-limited,"	121620000",1.88,0.00,0,Financials
JSE:REB,"Rebosis Property Fund (JSE:REB)",https://www.listcorp.com/jse/reb/rebosis-property-fund,"	111881000",0.16,0.00,0,Financials
JSE:NCS,"Nictus Limited (JSE:NCS)",https://www.listcorp.com/jse/ncs/nictus-limited,"	110094000",2.06,0.00,0,"Consumer Services"
JSE:BIK,"Brikor Limited (JSE:BIK)",https://www.listcorp.com/jse/bik/brikor-limited,"	108971000",0.13,0.00,0,Industrials
JSE:SEB,"Sebata Holdings Limited (JSE:SEB)",https://www.listcorp.com/jse/seb/sebata-holdings,"	106871000",0.93,0.00,0,Technology
JSE:REA,"Rebosis Property Fund - A Shares (JSE:REA)",https://www.listcorp.com/jse/rea/rebosis-property-fund-a,"	60735400",0.96,0.00,0,Financials
JSE:TLM,"TeleMasters Holdings Limited (JSE:TLM)",https://www.listcorp.com/jse/tlm/telemasters-holdings-limited,"	59207300",1.03,0.00,0,Telecommunications
JSE:RNG,"Randgold And Exploration Company (JSE:RNG)",https://www.listcorp.com/jse/rng/randgold-and-exploration-company,"	58922200",0.79,0.00,0,"Basic Materials"
JSE:LAB,"Labat Africa Limited (JSE:LAB)",https://www.listcorp.com/jse/lab/labat-africa-limited,"	56618800",0.05,0.00,0,Industrials
JSE:RTO,"Rex Trueform Group (JSE:RTO)",https://www.listcorp.com/jse/rto/rex-trueform-group,"	44403600",11.8,0.00,0,"Consumer Services"
JSE:EEL,"Efora Energy Limited (JSE:EEL)",https://www.listcorp.com/jse/eel/efora-energy-limited,"	33115000",0.03,0.00,0,"Oil & Gas"
JSE:PSV,"PSV Holdings Limited (JSE:PSV)",https://www.listcorp.com/jse/psv/psv-holdings-limited,"	32718600",0.08,0.00,0,Industrials
JSE:CND,"Conduit Capital Limited (JSE:CND)",https://www.listcorp.com/jse/cnd/conduit-capital-limited,"	30577800",0.04,0.00,0,Financials
JSE:AOO,"African and Overseas Enterprises Limited (JSE:AOO)",https://www.listcorp.com/jse/aoo/african-and-overseas-enterprises-limited,"	26741800",16.52,0.00,0,"Consumer Services"
JSE:MRI,"Mine Restoration Investments Limited (JSE:MRI)",https://www.listcorp.com/jse/mri/mine-restoration-investments-limited,"	25885700",0.03,0.00,0,Industrials
JSE:EUZ,"Europa Metals Limited (JSE:EUZ)",https://www.listcorp.com/jse/euz/europa-metals-limited,"	22477800",0.22,0.00,0,"Basic Materials"
JSE:GLI,"Go Life International Ltd (JSE:GLI)",https://www.listcorp.com/jse/gli/go-life-international-ltd,"	12425000",0.01,0.00,0,"Health Care"
JSE:VIS,"Visual International Holdings Limited (JSE:VIS)",https://www.listcorp.com/jse/vis/visual-international-holdings,"	11091200",0.01,0.00,0,Financials
JSE:ADW,"African Dawn Capital (JSE:ADW)",https://www.listcorp.com/jse/adw/african-dawn-capital,"	11026700",0.15,0.00,0,Financials
JSE:ELI,"Ellies Holdings Limited (JSE:ELI)",https://www.listcorp.com/jse/eli/ellies-holdings-limited,"	8054000",0.01,0.00,0,Industrials
JSE:AHL,"AH-Vest Limited (JSE:AHL)",https://www.listcorp.com/jse/ahl/ah-vest-limited,"	3061070",0.03,0.00,0,"Consumer Goods"
JSE:CMO,"Chrometco Limited (JSE:CMO)",https://www.listcorp.com/jse/cmo/chrometco-limited,"	0",0.06,0.00,0,"Basic Materials"
JSE:EOH,"EOH Holdings (JSE:EOH)",https://www.listcorp.com/jse/eoh/eoh-holdings,"	0",2.37,0.00,0,Technology
JSE:GAI,"Gaia Infrastructure Capital Limited (JSE:GAI)",https://www.listcorp.com/jse/gai/gaia-infrastructure-capital-limited,"	0",0,0.00,0,Financials
JSE:TCP,"Transaction Capital Ltd (JSE:TCP)",https://www.listcorp.com/jse/tcp/transaction-capital-ltd,"	0",2.18,0.00,0,Financials
